epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,451.739,1.28654,0.77888,0.907,0.68495,0.58375,0.62159,0.28059,2.01781,1.54446,1.16349,0.00039365,0.00039365,0.00039365
175,454.239,1.421,0.83734,0.89534,0.67732,0.62469,0.61776,0.2691,2.08146,1.63347,1.21947,0.0003887,0.0003887,0.0003887
176,456.726,1.38432,0.79809,0.868,0.63623,0.62469,0.63043,0.27625,2.12587,1.7037,1.19517,0.00038375,0.00038375,0.00038375
177,459.196,1.40291,0.85049,0.87065,0.6588,0.55079,0.60422,0.27877,2.1078,1.67069,1.20866,0.0003788,0.0003788,0.0003788
178,461.824,1.25883,0.80297,0.86574,0.67866,0.55552,0.61301,0.30028,2.04855,1.49356,1.18349,0.00037385,0.00037385,0.00037385
179,464.361,1.43926,0.86493,0.91648,0.66971,0.55898,0.61192,0.28171,2.05054,1.5233,1.17704,0.0003689,0.0003689,0.0003689
180,466.933,1.38505,0.79761,0.90104,0.66487,0.50451,0.59629,0.29367,2.0152,1.58936,1.17962,0.00036395,0.00036395,0.00036395
181,469.459,1.40335,0.82796,0.88205,0.70853,0.55356,0.57178,0.26086,2.06972,1.72718,1.18844,0.000359,0.000359,0.000359
182,472.039,1.3492,0.81325,0.86788,0.69805,0.55964,0.58064,0.26585,2.04846,1.69523,1.18459,0.00035405,0.00035405,0.00035405
183,474.642,1.38516,0.78582,0.91044,0.56192,0.56913,0.61833,0.28003,2.09935,1.65805,1.20394,0.0003491,0.0003491,0.0003491
184,477.282,1.29142,0.75673,0.92682,0.6379,0.54439,0.59172,0.26425,2.02096,1.57491,1.13297,0.00034415,0.00034415,0.00034415
185,479.875,1.31115,0.85908,0.92572,0.64388,0.56778,0.63569,0.27281,2.05913,1.61915,1.13855,0.0003392,0.0003392,0.0003392
186,482.401,1.30878,0.84764,0.89842,0.6922,0.56727,0.61475,0.27789,2.06359,1.60332,1.15129,0.00033425,0.00033425,0.00033425
187,485.134,1.39883,0.82121,0.92762,0.70962,0.58632,0.63819,0.27952,2.0595,1.54658,1.16304,0.0003293,0.0003293,0.0003293
188,487.754,1.22408,0.71091,0.84298,0.7244,0.58534,0.67028,0.3062,1.93739,1.47805,1.11461,0.00032435,0.00032435,0.00032435
189,490.359,1.44135,0.81093,0.88734,0.68519,0.54133,0.61578,0.28015,1.96407,1.47157,1.12507,0.0003194,0.0003194,0.0003194
190,492.994,1.38808,0.73365,0.8988,0.79286,0.53352,0.63828,0.28308,1.93674,1.48321,1.11216,0.00031445,0.00031445,0.00031445
191,495.578,1.3461,0.77815,0.86572,0.5438,0.64536,0.59609,0.27606,1.92143,1.54607,1.12728,0.0003095,0.0003095,0.0003095
192,498.149,1.40428,0.81016,0.90849,0.54249,0.63,0.62762,0.29201,1.93625,1.51304,1.1022,0.00030455,0.00030455,0.00030455
193,500.695,1.45202,1.03303,0.94684,0.53896,0.62608,0.61761,0.27765,1.97075,1.61926,1.16819,0.0002996,0.0002996,0.0002996
194,503.224,1.30363,0.79626,0.89215,0.60839,0.58798,0.60213,0.26644,1.98069,1.72507,1.17188,0.00029465,0.00029465,0.00029465
195,505.821,1.35776,0.85684,0.88888,0.60999,0.58503,0.58133,0.25743,2.01427,1.70365,1.16305,0.0002897,0.0002897,0.0002897
196,508.539,1.27117,0.72162,0.86438,0.81099,0.5602,0.61149,0.25642,2.01988,1.69405,1.19001,0.00028475,0.00028475,0.00028475
197,511.293,1.26035,0.7745,0.89198,0.76606,0.54494,0.59925,0.26939,2.05233,1.76182,1.20675,0.0002798,0.0002798,0.0002798
198,513.884,1.30805,0.79861,0.90097,0.7821,0.55127,0.63449,0.28714,1.98055,1.726,1.15424,0.00027485,0.00027485,0.00027485
199,516.45,1.41233,0.81483,0.89451,0.78428,0.5448,0.64837,0.3091,2.00417,1.71112,1.17511,0.0002699,0.0002699,0.0002699
200,519.028,1.34161,0.76998,0.9292,0.80954,0.56179,0.61366,0.28159,2.04036,1.74314,1.21076,0.00026495,0.00026495,0.00026495
201,521.58,1.35642,0.75254,0.88311,0.70889,0.62038,0.62967,0.29191,1.97699,1.60071,1.18667,0.00026,0.00026,0.00026
202,524.085,1.26094,0.73241,0.88299,0.6741,0.61649,0.63515,0.28554,1.96956,1.5209,1.18711,0.00025505,0.00025505,0.00025505
203,526.567,1.38025,0.7675,0.88583,0.80852,0.57905,0.63497,0.2862,1.99426,1.50244,1.20395,0.0002501,0.0002501,0.0002501
204,529.139,1.37276,0.79322,0.89453,0.80578,0.58798,0.63502,0.27635,2.00304,1.58241,1.20941,0.00024515,0.00024515,0.00024515
205,531.642,1.4379,0.73927,0.89771,0.52156,0.60774,0.55992,0.24915,2.01298,1.68495,1.22951,0.0002402,0.0002402,0.0002402
206,534.2,1.3711,0.79844,0.89324,0.6164,0.59691,0.58718,0.25944,2.00231,1.71721,1.20665,0.00023525,0.00023525,0.00023525
207,536.871,1.23493,0.71801,0.85339,0.55439,0.57905,0.55668,0.24436,2.00664,1.63108,1.1757,0.0002303,0.0002303,0.0002303
208,539.398,1.41126,0.80563,0.89991,0.58889,0.60877,0.58299,0.24838,2.0579,1.64066,1.1922,0.00022535,0.00022535,0.00022535
209,541.934,1.25474,0.72281,0.85012,0.57007,0.60825,0.57859,0.24885,1.99297,1.66965,1.14653,0.0002204,0.0002204,0.0002204
210,544.424,1.24536,0.69796,0.85732,0.63102,0.61465,0.61354,0.25778,1.95343,1.66977,1.09996,0.00021545,0.00021545,0.00021545
211,546.913,1.3009,0.77119,0.88646,0.66007,0.57746,0.59873,0.24985,1.97174,1.71281,1.12162,0.0002105,0.0002105,0.0002105
212,549.474,1.17024,0.7423,0.87027,0.71113,0.58239,0.59429,0.26309,1.95639,1.66865,1.12548,0.00020555,0.00020555,0.00020555
213,551.994,1.24019,0.68488,0.85118,0.6772,0.58252,0.59779,0.26368,1.96873,1.67073,1.13987,0.0002006,0.0002006,0.0002006
214,554.49,1.32308,0.73846,0.88378,0.65069,0.58798,0.60041,0.26519,2.00815,1.68894,1.18677,0.00019565,0.00019565,0.00019565
215,557.027,1.29893,0.71081,0.87416,0.68285,0.5822,0.59229,0.26226,2.04283,1.65618,1.21573,0.0001907,0.0001907,0.0001907
216,559.691,1.32801,0.74749,0.90442,0.64209,0.60603,0.58082,0.27087,2.01857,1.63126,1.22926,0.00018575,0.00018575,0.00018575
217,562.203,1.33831,0.75417,0.87849,0.59014,0.61312,0.58067,0.26997,1.96955,1.63223,1.19384,0.0001808,0.0001808,0.0001808
218,564.723,1.39844,0.83723,0.91536,0.55816,0.60773,0.56108,0.24185,2.00047,1.6277,1.21101,0.00017585,0.00017585,0.00017585
219,567.252,1.35043,0.7709,0.85289,0.55393,0.58798,0.56314,0.24865,1.99868,1.60483,1.21861,0.0001709,0.0001709,0.0001709
220,569.781,1.26023,0.71018,0.88744,0.61212,0.58441,0.59822,0.2605,2.00907,1.56695,1.23492,0.00016595,0.00016595,0.00016595
221,572.467,1.28896,0.69851,0.85741,0.56615,0.63019,0.61755,0.27166,1.99913,1.53696,1.22287,0.000161,0.000161,0.000161
222,575.063,1.1637,0.6549,0.82127,0.5745,0.63101,0.61774,0.28112,1.95988,1.51419,1.20013,0.00015605,0.00015605,0.00015605
223,577.613,1.31076,0.69071,0.89464,0.58612,0.62219,0.62171,0.2773,1.95129,1.53604,1.19387,0.0001511,0.0001511,0.0001511
224,580.129,1.27422,0.67952,0.8674,0.61479,0.59729,0.61281,0.28365,1.93031,1.58292,1.18026,0.00014615,0.00014615,0.00014615
225,582.778,1.39868,0.77052,0.88809,0.59999,0.62135,0.60521,0.27492,1.95391,1.60876,1.17862,0.0001412,0.0001412,0.0001412
226,585.28,1.26584,0.73969,0.87595,0.60913,0.61754,0.62254,0.28609,1.94289,1.63245,1.16782,0.00013625,0.00013625,0.00013625
227,587.804,1.36442,0.76394,0.89726,0.59604,0.60076,0.61638,0.28044,1.95148,1.59395,1.16523,0.0001313,0.0001313,0.0001313
228,590.374,1.34968,0.75535,0.87526,0.62092,0.64072,0.62185,0.27886,1.98705,1.56497,1.19282,0.00012635,0.00012635,0.00012635
229,592.899,1.15352,0.76185,0.89497,0.63462,0.62469,0.63775,0.29122,1.97927,1.52543,1.21829,0.0001214,0.0001214,0.0001214
230,595.441,1.3271,0.92947,0.89657,0.66528,0.6331,0.66827,0.30643,1.95829,1.45659,1.21528,0.00011645,0.00011645,0.00011645
231,597.982,1.24756,0.69733,0.87909,0.63221,0.67664,0.66844,0.30771,1.94835,1.43111,1.21016,0.0001115,0.0001115,0.0001115
232,600.477,1.17287,0.68094,0.85238,0.60797,0.66139,0.66824,0.30473,1.99353,1.51947,1.22188,0.00010655,0.00010655,0.00010655
233,602.992,1.29861,0.7262,0.88994,0.60408,0.64532,0.644,0.28658,1.97376,1.58536,1.19503,0.0001016,0.0001016,0.0001016
234,605.477,1.20074,0.72626,0.88729,0.57907,0.62871,0.6376,0.29859,1.95293,1.64258,1.20623,9.665e-05,9.665e-05,9.665e-05
235,608.136,1.29929,0.67105,0.86951,0.62059,0.65313,0.63305,0.29327,1.94714,1.62171,1.20678,9.17e-05,9.17e-05,9.17e-05
236,610.66,1.19057,0.67918,0.85575,0.59269,0.60396,0.61572,0.27307,1.98273,1.66928,1.21158,8.675e-05,8.675e-05,8.675e-05
237,613.203,1.32178,0.7365,0.90331,0.60081,0.60932,0.63697,0.29132,1.94557,1.62724,1.19638,8.18e-05,8.18e-05,8.18e-05
238,615.744,1.09227,0.67777,0.84214,0.6173,0.61034,0.63996,0.29971,1.93111,1.60023,1.19095,7.685e-05,7.685e-05,7.685e-05
239,618.276,1.2223,0.69659,0.90611,0.61807,0.63068,0.64449,0.29983,1.91868,1.579,1.17679,7.19e-05,7.19e-05,7.19e-05
240,620.809,1.22545,0.7419,0.92035,0.64792,0.65647,0.64863,0.30502,1.91773,1.51087,1.163,6.695e-05,6.695e-05,6.695e-05
241,624.255,1.24944,0.71235,0.87822,0.62239,0.61126,0.65278,0.31009,1.91695,1.46031,1.14656,6.2e-05,6.2e-05,6.2e-05
242,626.802,1.18791,0.67631,0.8777,0.61304,0.59691,0.63973,0.30775,1.91941,1.4767,1.1531,5.705e-05,5.705e-05,5.705e-05
243,629.444,1.13981,0.61489,0.82948,0.63732,0.61596,0.64332,0.30888,1.9128,1.52085,1.16036,5.21e-05,5.21e-05,5.21e-05
244,632.166,1.18151,0.63826,0.8292,0.59215,0.62469,0.63482,0.30367,1.9132,1.56539,1.16928,4.715e-05,4.715e-05,4.715e-05
245,634.692,1.26794,0.65405,0.89079,0.58172,0.60986,0.63824,0.30852,1.93737,1.61031,1.18292,4.22e-05,4.22e-05,4.22e-05
246,637.161,1.26753,0.68094,0.84841,0.5941,0.6115,0.64581,0.30522,1.96106,1.62681,1.18939,3.725e-05,3.725e-05,3.725e-05
247,639.668,1.213,0.64588,0.85465,0.59226,0.61713,0.63532,0.30348,1.97466,1.65622,1.2079,3.23e-05,3.23e-05,3.23e-05
248,642.207,1.21494,0.6698,0.85132,0.59342,0.61346,0.64273,0.30757,1.98549,1.67338,1.22975,2.735e-05,2.735e-05,2.735e-05
249,644.718,1.20627,0.71493,0.88137,0.5999,0.61399,0.64229,0.31121,1.98398,1.64188,1.22775,2.24e-05,2.24e-05,2.24e-05
250,647.238,1.10529,0.60097,0.84205,0.60133,0.615,0.64378,0.31038,1.97587,1.63896,1.22624,1.745e-05,1.745e-05,1.745e-05
