epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,110.094,1.97994,1.71109,1.07829,0.6828,0.57867,0.59076,0.22642,2.18246,1.6623,1.23829,0.00104705,0.00104705,0.00104705
43,112.656,1.95979,1.62717,1.09778,0.43937,0.5031,0.46296,0.19901,2.26235,1.75126,1.30795,0.0010421,0.0010421,0.0010421
44,115.286,1.91143,1.73368,1.08567,0.70272,0.5878,0.61516,0.24952,2.10233,1.59223,1.18999,0.00103715,0.00103715,0.00103715
45,118.168,1.91293,1.57595,1.02287,0.53172,0.66373,0.54747,0.2547,2.07091,1.50014,1.1837,0.0010322,0.0010322,0.0010322
46,120.76,2.09462,1.88237,1.11226,0.42119,0.45452,0.38717,0.17414,2.19864,1.90232,1.23081,0.00102725,0.00102725,0.00102725
47,123.356,2.01966,1.53303,1.09739,0.48982,0.48554,0.50071,0.23316,2.18328,1.8225,1.24628,0.0010223,0.0010223,0.0010223
48,125.985,2.02759,1.61021,1.15012,0.6211,0.66941,0.59609,0.25242,2.01672,1.67712,1.22064,0.00101735,0.00101735,0.00101735
49,128.58,1.94809,1.50626,1.05735,0.45217,0.60359,0.48963,0.19879,2.14635,1.55756,1.29264,0.0010124,0.0010124,0.0010124
50,131.18,1.92222,1.39861,1.00125,0.68409,0.4732,0.53644,0.23962,2.14983,1.60791,1.23753,0.00100745,0.00100745,0.00100745
51,133.77,1.91268,1.52061,1.0255,0.80007,0.59884,0.62739,0.27352,2.08218,1.47441,1.16643,0.0010025,0.0010025,0.0010025
52,136.362,1.91156,1.48161,1.00188,0.72435,0.58097,0.64799,0.28531,2.12667,1.41593,1.14197,0.00099755,0.00099755,0.00099755
53,138.982,1.96016,1.53553,1.02037,0.73992,0.54138,0.62008,0.27333,2.09962,1.66274,1.2549,0.0009926,0.0009926,0.0009926
54,141.545,1.79381,1.41686,1.02461,0.46643,0.57568,0.50235,0.21824,2.16379,1.69398,1.22395,0.00098765,0.00098765,0.00098765
55,144.259,1.82709,1.47657,1.04763,0.55056,0.58465,0.57456,0.26694,2.11368,1.51612,1.20297,0.0009827,0.0009827,0.0009827
56,146.836,1.89503,1.47446,1.007,0.50129,0.6361,0.55689,0.24663,2.22282,1.62367,1.24522,0.00097775,0.00097775,0.00097775
57,149.388,1.88197,1.48379,1.05812,0.64397,0.48393,0.52514,0.2485,2.10164,1.65701,1.13655,0.0009728,0.0009728,0.0009728
58,151.927,1.93135,1.47764,1.07112,0.54009,0.52125,0.52329,0.22911,2.12789,1.65798,1.17132,0.00096785,0.00096785,0.00096785
59,154.465,1.88594,1.43204,1.08242,0.66257,0.55248,0.53002,0.2537,2.17518,1.62112,1.24472,0.0009629,0.0009629,0.0009629
60,157.029,1.75844,1.35349,0.95414,0.4895,0.48758,0.51223,0.19874,2.21323,1.66414,1.19499,0.00095795,0.00095795,0.00095795
61,159.586,1.82305,1.44409,0.98696,0.56579,0.5214,0.54661,0.25492,2.10801,1.58601,1.21709,0.000953,0.000953,0.000953
62,162.138,1.75037,1.3515,1.00608,0.51467,0.51232,0.53614,0.23075,1.99786,1.63934,1.11209,0.00094805,0.00094805,0.00094805
63,164.723,1.97931,1.43009,1.06995,0.5532,0.42378,0.47197,0.18954,2.2433,1.68896,1.29055,0.0009431,0.0009431,0.0009431
64,167.432,1.93408,1.39792,1.08613,0.55491,0.48891,0.4319,0.19365,2.3073,1.65595,1.29778,0.00093815,0.00093815,0.00093815
65,170.014,1.80793,1.40599,1.02885,0.53108,0.63105,0.52342,0.21717,2.08882,1.55676,1.18781,0.0009332,0.0009332,0.0009332
66,172.601,1.80112,1.37543,1.01822,0.66619,0.58275,0.58849,0.26009,2.15319,1.56033,1.26324,0.00092825,0.00092825,0.00092825
67,175.153,1.78598,1.39388,1.03695,0.77836,0.58018,0.64181,0.29363,2.15477,1.50285,1.3671,0.0009233,0.0009233,0.0009233
68,177.793,1.76698,1.3495,0.98502,0.66652,0.58525,0.65355,0.25818,2.20969,1.5916,1.2157,0.00091835,0.00091835,0.00091835
69,180.364,1.7693,1.30517,0.99432,0.65621,0.63214,0.66758,0.30193,2.19107,1.43503,1.26008,0.0009134,0.0009134,0.0009134
70,182.962,1.73048,1.29848,0.98594,0.57794,0.55895,0.58056,0.24312,2.36105,1.45595,1.33986,0.00090845,0.00090845,0.00090845
